n,block_type,block_index,trial_type,rt,acc,trail_time,word,color,answer,correct_answer
1,training,1,congruent,,-1,1230,CZERWONY,red,,n
2,training,1,incongruent,,-1,1230,¯Ó£TY,green,,z
3,training,1,congruent,,-1,1230,¯Ó£TY,yellow,,m
4,training,1,congruent,1.0288503000047058,1,1230,¯Ó£TY,yellow,m,m
5,training,1,congruent,0.948128700023517,1,1230,ZIELONY,green,z,z
6,training,1,congruent,0.8541873999638483,1,1230,NIEBIESKI,#5e75d9,x,x
7,training,1,congruent,0.9644866000162438,1,1230,ZIELONY,green,z,z
8,training,1,incongruent,,-1,1230,ZIELONY,#5e75d9,,x
9,training,1,congruent,0.5356557000195608,1,1230,NIEBIESKI,#5e75d9,x,x
10,training,1,incongruent,0.8921318000648171,1,1230,¯Ó£TY,red,n,n
11,training,1,incongruent,0.6827223000582308,1,1230,NIEBIESKI,red,n,n
12,training,1,congruent,0.39700920006725937,1,1230,CZERWONY,red,n,n
13,experiment,1,incongruent,1.1528220999753103,1,1230,NIEBIESKI,green,z,z
14,experiment,1,incongruent,1.0845330998999998,1,1230,ZIELONY,red,n,n
15,experiment,1,congruent,0.6827080000657588,1,1230,CZERWONY,red,n,n
16,experiment,1,incongruent,0.8427457999205217,1,1230,CZERWONY,green,z,z
17,experiment,1,congruent,0.6804388000164181,1,1230,¯Ó£TY,yellow,m,m
18,experiment,1,congruent,0.7034969000378624,1,1230,CZERWONY,red,n,n
19,experiment,1,congruent,0.7468944999855012,1,1230,NIEBIESKI,#5e75d9,x,x
20,experiment,1,congruent,0.7382058000657707,1,1230,CZERWONY,red,n,n
21,experiment,1,congruent,0.6840462998952717,1,1230,CZERWONY,red,n,n
22,experiment,1,congruent,0.5736707000760362,1,1230,¯Ó£TY,yellow,m,m
23,experiment,1,congruent,0.9025189999956638,1,1230,NIEBIESKI,#5e75d9,x,x
24,experiment,1,congruent,0.6592986000468954,1,1230,CZERWONY,red,n,n
25,experiment,1,congruent,0.7310225999681279,1,1230,¯Ó£TY,yellow,m,m
26,experiment,1,incongruent,1.2068388999905437,0,1230,¯Ó£TY,#5e75d9,z,x
27,experiment,1,incongruent,1.1877830000594258,1,1230,CZERWONY,yellow,m,m
28,experiment,1,congruent,0.7688113000476733,1,1230,ZIELONY,green,z,z
29,experiment,1,incongruent,0.591132500092499,1,1230,NIEBIESKI,red,n,n
30,experiment,1,congruent,0.5689678000053391,1,1230,NIEBIESKI,#5e75d9,x,x
31,experiment,2,congruent,0.7680347999557853,1,1140,ZIELONY,green,z,z
32,experiment,2,congruent,0.6255481999833137,1,1140,ZIELONY,green,z,z
33,experiment,2,incongruent,0.7804751000367105,0,1140,CZERWONY,#5e75d9,n,x
34,experiment,2,congruent,0.8142559999832883,1,1140,¯Ó£TY,yellow,m,m
35,experiment,2,incongruent,0.7314873000141233,1,1140,CZERWONY,yellow,m,m
36,experiment,2,congruent,0.6833543999819085,1,1140,NIEBIESKI,#5e75d9,x,x
37,experiment,2,congruent,0.5806295000948012,1,1140,¯Ó£TY,yellow,m,m
38,experiment,2,incongruent,0.9402593999402598,0,1140,CZERWONY,yellow,x,m
39,experiment,2,congruent,0.6278551999712363,1,1140,CZERWONY,red,n,n
40,experiment,2,congruent,0.7659901999868453,1,1140,CZERWONY,red,n,n
41,experiment,2,congruent,0.7190738000208512,1,1140,NIEBIESKI,#5e75d9,x,x
42,experiment,2,congruent,0.5289302000310272,1,1140,ZIELONY,green,z,z
43,experiment,2,congruent,0.6981981999706477,1,1140,NIEBIESKI,#5e75d9,x,x
44,experiment,2,incongruent,,-1,1140,CZERWONY,#5e75d9,,x
45,experiment,2,incongruent,0.00012869993224740028,1,1140,ZIELONY,#5e75d9,x,x
46,experiment,2,incongruent,0.6909057999728248,1,1140,ZIELONY,yellow,m,m
47,experiment,2,congruent,0.44253930007107556,1,1140,¯Ó£TY,yellow,m,m
48,experiment,2,congruent,0.7376005999976769,1,1140,CZERWONY,red,n,n
49,experiment,3,congruent,0.4921426000073552,1,1050,¯Ó£TY,yellow,m,m
50,experiment,3,congruent,0.5073075999971479,1,1050,CZERWONY,red,n,n
51,experiment,3,congruent,0.5525320000015199,1,1050,NIEBIESKI,#5e75d9,x,x
52,experiment,3,incongruent,0.7184227999532595,1,1050,ZIELONY,red,n,n
53,experiment,3,congruent,0.7828159000491723,0,1050,ZIELONY,green,x,z
54,experiment,3,congruent,0.6432070999871939,1,1050,¯Ó£TY,yellow,m,m
55,experiment,3,congruent,0.8760925999376923,1,1050,NIEBIESKI,#5e75d9,x,x
56,experiment,3,incongruent,0.6767698999028653,1,1050,CZERWONY,yellow,m,m
57,experiment,3,congruent,0.9455346999457106,1,1050,¯Ó£TY,yellow,m,m
58,experiment,3,congruent,0.4763523999135941,1,1050,CZERWONY,red,n,n
59,experiment,3,incongruent,0.5292799000162631,1,1050,NIEBIESKI,yellow,m,m
60,experiment,3,congruent,,-1,1050,ZIELONY,green,,z
61,experiment,3,incongruent,0.00012440001592040062,1,1050,NIEBIESKI,green,z,z
62,experiment,3,incongruent,0.5269602000480518,1,1050,CZERWONY,yellow,m,m
63,experiment,3,incongruent,0.7950219999765977,1,1050,NIEBIESKI,red,n,n
64,experiment,3,congruent,1.007718399981968,1,1050,NIEBIESKI,#5e75d9,x,x
65,experiment,3,congruent,0.6000721000600606,1,1050,NIEBIESKI,#5e75d9,x,x
66,experiment,3,congruent,0.5234751999378204,1,1050,¯Ó£TY,yellow,m,m
67,experiment,4,congruent,0.508859800058417,1,960,ZIELONY,green,z,z
68,experiment,4,incongruent,0.44480990001466125,1,960,NIEBIESKI,red,n,n
69,experiment,4,congruent,0.6677515999181196,1,960,NIEBIESKI,#5e75d9,x,x
70,experiment,4,incongruent,0.6324235999491066,1,960,¯Ó£TY,#5e75d9,x,x
71,experiment,4,congruent,0.6300731999799609,1,960,CZERWONY,red,n,n
72,experiment,4,congruent,0.46831959998235106,1,960,CZERWONY,red,n,n
73,experiment,4,incongruent,0.7474178000120446,1,960,CZERWONY,#5e75d9,x,x
74,experiment,4,congruent,0.48965359991416335,1,960,¯Ó£TY,yellow,m,m
75,experiment,4,congruent,0.655884400010109,1,960,NIEBIESKI,#5e75d9,x,x
76,experiment,4,congruent,0.520965899922885,1,960,NIEBIESKI,#5e75d9,x,x
77,experiment,4,congruent,,-1,960,¯Ó£TY,yellow,,m
78,experiment,4,congruent,0.00013099994976073503,1,960,¯Ó£TY,yellow,m,m
79,experiment,4,incongruent,,-1,960,ZIELONY,#5e75d9,,x
80,experiment,4,incongruent,0.00013609998859465122,0,960,ZIELONY,yellow,x,m
81,experiment,4,congruent,,-1,960,CZERWONY,red,,n
82,experiment,4,incongruent,,-1,960,CZERWONY,#5e75d9,,x
83,experiment,4,congruent,0.5032709999941289,0,960,ZIELONY,green,n,z
84,experiment,4,congruent,0.6911872000200674,1,960,¯Ó£TY,yellow,m,m
85,experiment,5,incongruent,0.5435378999682143,1,1230,ZIELONY,yellow,m,m
86,experiment,5,congruent,0.49526700004935265,1,1230,¯Ó£TY,yellow,m,m
87,experiment,5,congruent,0.6174113999586552,1,1230,NIEBIESKI,#5e75d9,x,x
88,experiment,5,congruent,0.5805545999901369,1,1230,CZERWONY,red,n,n
89,experiment,5,incongruent,0.4853873999090865,1,1230,NIEBIESKI,yellow,m,m
